yr,indutyLclasNm,indutyMlsfcNm,allFrcsCnt,frcsCnt,rate
2017,도소매,편의점,48324,35222,72.89
2017,도소매,기타도소매,48324,5737,11.87
2017,도소매,화장품,48324,4101,8.49
2017,도소매,(건강)식품,48324,2054,4.25
2017,도소매,종합소매점,48324,727,1.5
2018,도소매,편의점,54194,40096,73.99
2018,도소매,기타도소매,54194,6398,11.81
2018,도소매,화장품,54194,4329,7.99
2018,도소매,(건강)식품,54194,1744,3.22
2018,도소매,종합소매점,54194,1105,2.04
2019,도소매,편의점,55581,42320,76.14
2019,도소매,기타도소매,55581,6274,11.29
2019,도소매,화장품,55581,3382,6.08
2019,도소매,(건강)식품,55581,1511,2.72
2019,도소매,종합소매점,55581,1283,2.31
2020,도소매,편의점,56897,45555,80.07
2020,도소매,기타도소매,56897,6518,11.46
2020,도소매,화장품,56897,1870,3.29
2020,도소매,(건강)식품,56897,1184,2.08
2020,도소매,종합소매점,56897,849,1.49
2021,도소매,편의점,60874,48702,80.0
2021,도소매,기타도소매,60874,7325,12.03
2021,도소매,화장품,60874,2018,3.32
2021,도소매,종합소매점,60874,905,1.49
2021,도소매,(건강)식품,60874,898,1.48
2022,도소매,(건강)식품,63470,926,1.46
2022,도소매,종합소매점,63470,933,1.47
2022,도소매,화장품,63470,1673,2.64
2022,도소매,기타도소매,63470,9228,14.54
2022,도소매,편의점,63470,49600,78.15
2023,도소매,화장품,59843,427,0.71
2023,도소매,종합소매점,59843,693,1.16
2023,도소매,(건강)식품,59843,922,1.54
2023,도소매,기타도소매,59843,8669,14.49
2023,도소매,편의점,59843,48597,81.21
2024,도소매,종합소매점,69293,886,1.28
2024,도소매,(건강)식품,69293,943,1.36
2024,도소매,기타도소매,69293,10203,14.72
2024,도소매,화장품,69293,1071,1.55
2024,도소매,편의점,69293,55710,80.4
