yr,indutyLclasNm,indutyMlsfcNm,allFrcsCnt,frcsCnt,rate
2017,서비스,교육 (외국어),65164,17488,26.84
2017,서비스,교육 (교과),65164,13923,21.37
2017,서비스,자동차 관련,65164,6761,10.38
2017,서비스,기타 교육,65164,4905,7.53
2017,서비스,이미용,65164,3856,5.92
2018,서비스,교육 (외국어),69518,17057,24.54
2018,서비스,교육 (교과),69518,14497,20.85
2018,서비스,자동차 관련,69518,7514,10.81
2018,서비스,기타 교육,69518,5541,7.97
2018,서비스,이미용,69518,4391,6.32
2019,서비스,교육 (외국어),69948,17617,25.19
2019,서비스,교육 (교과),69948,13052,18.66
2019,서비스,자동차 관련,69948,6384,9.13
2019,서비스,기타 교육,69948,5962,8.52
2019,서비스,세탁,69948,4397,6.29
2020,서비스,교육 (외국어),68071,17552,25.78
2020,서비스,교육 (교과),68071,10730,15.76
2020,서비스,기타 교육,68071,6396,9.4
2020,서비스,자동차 관련,68071,5258,7.72
2020,서비스,세탁,68071,4520,6.64
2021,서비스,교육 (외국어),75102,15517,20.66
2021,서비스,교육 (교과),75102,9121,12.14
2021,서비스,기타 서비스,75102,8432,11.23
2021,서비스,운송,75102,8126,10.82
2021,서비스,기타 교육,75102,5835,7.77
2022,서비스,기타 교육,93298,6129,6.57
2022,서비스,운송,93298,8336,8.93
2022,서비스,교육 (교과),93298,9864,10.57
2022,서비스,교육 (외국어),93298,16729,17.93
2022,서비스,기타 서비스,93298,22854,24.5
2023,서비스,기타 교육,87107,6152,7.06
2023,서비스,자동차 관련,87107,6567,7.54
2023,서비스,교육 (교과),87107,9641,11.07
2023,서비스,교육 (외국어),87107,14477,16.62
2023,서비스,기타 서비스,87107,25219,28.95
2024,서비스,기타 서비스,113790,35622,31.31
2024,서비스,기타 교육,113790,7730,6.79
2024,서비스,교육 (외국어),113790,15819,13.9
2024,서비스,교육 (교과),113790,9918,8.72
2024,서비스,운송,113790,13214,11.61
