yr,indutyLclasNm,indutyMlsfcNm,allFrcsCnt,frcsCnt,rate
2017,외식,치킨,101737,20779,20.42
2017,외식,한식,101737,17658,17.36
2017,외식,커피,101737,12387,12.18
2017,외식,기타 외식,101737,11105,10.92
2017,외식,주점,101737,8273,8.13
2018,외식,치킨,111586,24088,21.59
2018,외식,한식,111586,17826,15.98
2018,외식,기타 외식,111586,14952,13.4
2018,외식,커피,111586,13119,11.76
2018,외식,분식,111586,8154,7.31
2019,외식,치킨,117368,24733,21.07
2019,외식,한식,117368,19801,16.87
2019,외식,기타 외식,117368,16698,14.23
2019,외식,커피,117368,14560,12.41
2019,외식,제과제빵,117368,8114,6.91
2020,외식,치킨,125550,25255,20.12
2020,외식,한식,125550,24130,19.22
2020,외식,기타 외식,125550,16257,12.95
2020,외식,커피,125550,15770,12.56
2020,외식,분식,125550,9281,7.39
2021,외식,치킨,131085,25781,19.67
2021,외식,한식,131085,25617,19.54
2021,외식,커피,131085,17852,13.62
2021,외식,기타 외식,131085,17033,12.99
2021,외식,분식,131085,9894,7.55
2022,외식,분식,157192,12490,7.95
2022,외식,기타 외식,157192,19638,12.49
2022,외식,커피,157192,22549,14.34
2022,외식,치킨,157192,27555,17.53
2022,외식,한식,157192,33774,21.49
2023,외식,분식,156638,12064,7.7
2023,외식,기타 외식,156638,19080,12.18
2023,외식,커피,156638,20652,13.18
2023,외식,치킨,156638,24740,15.79
2023,외식,한식,156638,34897,22.28
2024,외식,분식,175768,11731,6.67
2024,외식,기타 외식,175768,18132,10.32
2024,외식,커피,175768,27642,15.73
2024,외식,한식,175768,41032,23.34
2024,외식,치킨,175768,29681,16.89
